ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Trump,2/9/2024 12:00:00 AM,$0.46,$0.48,$0.45,$0.46,20819
Biden,2/9/2024 12:00:00 AM,$0.43,$0.44,$0.39,$0.41,33436
Harris,2/9/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,12289
Buttigieg,2/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/9/2024 12:00:00 AM,$0.10,$0.15,$0.08,$0.12,17499
Ramaswamy,2/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1500
Scott,2/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,400
RFK Jr.,2/9/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,8199
Haley,2/9/2024 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,25357
DeSantis,2/10/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,712
Trump,2/10/2024 12:00:00 AM,$0.46,$0.48,$0.46,$0.46,6370
Biden,2/10/2024 12:00:00 AM,$0.41,$0.42,$0.39,$0.41,12757
Harris,2/10/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,7339
Buttigieg,2/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/10/2024 12:00:00 AM,$0.12,$0.12,$0.09,$0.09,8221
Ramaswamy,2/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Scott,2/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/10/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,2699
Haley,2/10/2024 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,9123
DeSantis,2/11/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,3654
Trump,2/11/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,7247
Biden,2/11/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.42,7016
Harris,2/11/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,4306
Buttigieg,2/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/11/2024 12:00:00 AM,$0.09,$0.12,$0.09,$0.12,10753
Ramaswamy,2/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/11/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,4146
Haley,2/11/2024 12:00:00 AM,$0.03,$0.05,$0.03,$0.03,4701
DeSantis,2/12/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4637
Trump,2/12/2024 12:00:00 AM,$0.46,$0.47,$0.46,$0.47,3860
Biden,2/12/2024 12:00:00 AM,$0.42,$0.42,$0.39,$0.40,7175
Harris,2/12/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,12760
Buttigieg,2/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/12/2024 12:00:00 AM,$0.12,$0.14,$0.12,$0.12,7611
Ramaswamy,2/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11312
